company,inn,title,description,requirements,age_days,posts_per_day,ip_blacklisted,complaints,label
ПАО Газпром,7874090385,Системный администратор,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Опыт от 3 лет, профильное образование, знание английского.",212,1,0,0,0
ООО 1С,2712748463,Data Scientist,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",3599,3,0,0,0
ООО Тинькофф,5818139890,Технический писатель,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Опыт работы с Docker, Kubernetes, понимание CI/CD.",3283,0,0,0,0
ПАО Газпром,8647501111,Frontend-разработчик,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Опыт от 3 лет, профильное образование, знание английского.",679,3,0,0,0
АО Лаборатория Касперского,4045018968,Системный администратор,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",559,3,0,0,0
ООО Skillbox,4327279566,QA-инженер,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Опыт работы с Docker, Kubernetes, понимание CI/CD.",3055,4,0,0,0
ООО Яндекс,6185067165,Системный администратор,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Опыт администрирования Linux, знание сетей, ответственность.",1663,5,0,0,0
ИП Иванов,2896288743,"Требуются люди, оплата ежедневно",Заработок от 100000 рублей в неделю! Никакого опыта не нужно. Обучим бесплатно. Оплата ежедневно. Пишите в WhatsApp. Количество мест ограничено!,Никаких навыков не требуется!,7,19,1,3,1
ООО Skillbox,6309251145,Бизнес-аналитик,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",758,3,0,0,0
ООО МТС,3965923421,QA-инженер,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Портфолио, опыт коммерческой разработки, знание Git.",1885,4,0,0,0
ПАО Ростелеком,9593110914,Product Manager,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Опыт администрирования Linux, знание сетей, ответственность.",2608,1,0,0,0
ООО Skillbox,7906744717,Менеджер проектов,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Портфолио, опыт коммерческой разработки, знание Git.",3296,3,0,0,0
АО Альфа-Банк,3538179336,Аналитик данных,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",1492,2,0,0,0
ИП Иванов,9509025561,"Свободный график, оплата сразу",Набор сотрудников для удалённой работы. Оплата 3000 руб за 2 часа. Никаких навыков не требуется. Срочно! Пишите в Telegram. Работа из любой точки мира.,Без опыта! Обучим всему за 1 день!,50,42,1,6,1
ООО Тинькофф,5810018414,Менеджер проектов,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Опыт работы с Docker, Kubernetes, понимание CI/CD.",2275,3,0,0,0
ООО Лёгкий Заработок,1571219881,Работа с высокой оплатой без опыта,"Работа мечты! Гибкий график, высокая оплата, без начальников. Требуются люди с 18 лет. Оплата сразу после смены. Подробности в личные сообщения.","Возраст от 18 лет, наличие телефона.",37,18,1,9,1
ООО КРОК,9318491967,QA-инженер,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",2974,3,0,0,0
ООО Яндекс,8359710729,QA-инженер,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",1504,5,0,0,0
АО Лаборатория Касперского,4098050098,Frontend-разработчик,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Портфолио, опыт коммерческой разработки, знание Git.",2132,4,0,0,0
ПАО Газпром,7012796118,Технический писатель,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",1257,1,0,0,0
ПАО Газпром,7907844739,QA-инженер,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Опыт работы с Docker, Kubernetes, понимание CI/CD.",3476,5,0,0,0
АО Лаборатория Касперского,3282772880,Технический писатель,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Опыт администрирования Linux, знание сетей, ответственность.",663,5,0,0,0
АО ВТБ,4121727158,Бизнес-аналитик,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Опыт администрирования Linux, знание сетей, ответственность.",2915,2,0,0,0
ООО КРОК,3706614985,DevOps-инженер,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Опыт администрирования Linux, знание сетей, ответственность.",805,4,0,0,0
ИП Сидоров,5490216667,"Свободный график, оплата сразу",Набор сотрудников для удалённой работы. Оплата 3000 руб за 2 часа. Никаких навыков не требуется. Срочно! Пишите в Telegram. Работа из любой точки мира.,"Возраст от 18 лет, наличие телефона.",51,13,1,2,1
ООО Лёгкий Заработок,1282270093,Работа с высокой оплатой без опыта,Заработок от 100000 рублей в неделю! Никакого опыта не нужно. Обучим бесплатно. Оплата ежедневно. Пишите в WhatsApp. Количество мест ограничено!,Никаких навыков не требуется!,55,28,1,8,1
ПАО Сбербанк,2820967906,Системный администратор,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Опыт работы с Docker, Kubernetes, понимание CI/CD.",1368,1,0,0,0
ООО Skillbox,5510463686,Python-разработчик,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Опыт администрирования Linux, знание сетей, ответственность.",3086,0,0,0,0
АО ВТБ,3341436378,Бизнес-аналитик,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Опыт работы с Docker, Kubernetes, понимание CI/CD.",3073,0,0,0,0
АО ВТБ,5696325953,Frontend-разработчик,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Опыт от 3 лет, профильное образование, знание английского.",957,1,0,0,0
ИП Петров А.А.,7958741314,"Свободный график, оплата сразу","Работа мечты! Гибкий график, высокая оплата, без начальников. Требуются люди с 18 лет. Оплата сразу после смены. Подробности в личные сообщения.","Ответственность, желание зарабатывать, без опыта.",26,38,1,5,1
ООО КРОК,3010276211,Frontend-разработчик,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",742,5,0,0,0
АО Альфа-Банк,5651113123,Менеджер проектов,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Опыт от 3 лет, профильное образование, знание английского.",2536,0,0,0,0
ООО Яндекс,4412328126,Бизнес-аналитик,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",190,3,0,0,0
ООО Рога и Копыта,6123972835,Набор менеджеров без опыта,Набор сотрудников для удалённой работы. Оплата 3000 руб за 2 часа. Никаких навыков не требуется. Срочно! Пишите в Telegram. Работа из любой точки мира.,"Возраст от 18 лет, наличие телефона.",6,19,1,7,1
ООО МТС,4504888992,Python-разработчик,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",813,0,0,0,0
АО Лаборатория Касперского,9350583002,Data Scientist,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Опыт от 3 лет, профильное образование, знание английского.",2746,5,0,0,0
ООО КРОК,4270185102,Python-разработчик,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Портфолио, опыт коммерческой разработки, знание Git.",1890,3,0,0,0
ООО Деньги Сразу,8931647725,Срочно! Набор сотрудников,Свободная подработка! Оплата ежедневно 2000-5000 руб. Без опыта и вложений. Быстрое оформление. Звоните с 9 до 21. Количество мест ограничено.,Без опыта! Обучим всему за 1 день!,4,21,1,7,1
ООО Деньги Сразу,3923616188,Срочно! Набор сотрудников,Свободная подработка! Оплата ежедневно 2000-5000 руб. Без опыта и вложений. Быстрое оформление. Звоните с 9 до 21. Количество мест ограничено.,"Возраст от 18 лет, наличие телефона.",2,43,0,2,1
ООО Тинькофф,8043103855,Backend-разработчик,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Опыт администрирования Linux, знание сетей, ответственность.",1866,4,0,0,0
ООО Быстрые Деньги,1438787535,Работа с высокой оплатой без опыта,"Работа мечты! Гибкий график, высокая оплата, без начальников. Требуются люди с 18 лет. Оплата сразу после смены. Подробности в личные сообщения.",Срочно! Наличие свободного времени.,29,40,1,10,1
ООО МТС,8810801324,Backend-разработчик,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Опыт от 3 лет, профильное образование, знание английского.",1844,3,0,0,0
ООО 1С,4579727985,Data Scientist,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Опыт от 3 лет, профильное образование, знание английского.",1612,2,0,0,0
АО ВТБ,8252175250,Системный администратор,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Опыт работы с Docker, Kubernetes, понимание CI/CD.",2778,0,0,0,0
ООО КРОК,8872558775,Product Manager,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Портфолио, опыт коммерческой разработки, знание Git.",2120,2,0,0,0
АО ВТБ,8311219657,Product Manager,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Опыт администрирования Linux, знание сетей, ответственность.",1938,2,0,0,0
АО Лаборатория Касперского,5240082542,QA-инженер,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Опыт администрирования Linux, знание сетей, ответственность.",2101,4,0,0,0
ООО Тинькофф,6347491620,Python-разработчик,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Опыт от 3 лет, профильное образование, знание английского.",1213,3,0,0,0
АО ВТБ,5948083134,Системный администратор,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Портфолио, опыт коммерческой разработки, знание Git.",3129,3,0,0,0
ООО МТС,3165585237,Бизнес-аналитик,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Опыт от 3 лет, профильное образование, знание английского.",2647,4,0,0,0
ИП Сидоров,1904637660,Заработок из дома 100000 руб/день,"Работа мечты! Гибкий график, высокая оплата, без начальников. Требуются люди с 18 лет. Оплата сразу после смены. Подробности в личные сообщения.",Срочно! Наличие свободного времени.,44,27,1,8,1
ООО КРОК,4331279752,Python-разработчик,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Опыт администрирования Linux, знание сетей, ответственность.",2054,1,0,0,0
ПАО Сбербанк,4535444394,Системный администратор,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Опыт работы с Docker, Kubernetes, понимание CI/CD.",744,5,0,0,0
ПАО Газпром,3197199756,Системный администратор,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",2453,0,0,0,0
ООО Рога и Копыта,3587844483,Простая работа на дому,Набор сотрудников для удалённой работы. Оплата 3000 руб за 2 часа. Никаких навыков не требуется. Срочно! Пишите в Telegram. Работа из любой точки мира.,Срочно! Наличие свободного времени.,21,27,1,10,1
ПАО Сбербанк,9374550849,Бизнес-аналитик,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Опыт от 3 лет, профильное образование, знание английского.",799,5,0,0,0
АО Альфа-Банк,7515881578,Аналитик данных,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Опыт администрирования Linux, знание сетей, ответственность.",2658,1,0,0,0
ООО Skillbox,2797968867,Frontend-разработчик,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Опыт администрирования Linux, знание сетей, ответственность.",2406,0,0,0,0
ПАО Газпром,4864631752,Технический писатель,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Опыт администрирования Linux, знание сетей, ответственность.",914,0,0,0,0
ИП Петров А.А.,9677524014,Работа с высокой оплатой без опыта,Набор сотрудников для удалённой работы. Оплата 3000 руб за 2 часа. Никаких навыков не требуется. Срочно! Пишите в Telegram. Работа из любой точки мира.,"Возраст от 18 лет, наличие телефона.",45,45,1,6,1
ООО Яндекс,1578360915,Backend-разработчик,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Опыт администрирования Linux, знание сетей, ответственность.",1312,4,0,0,0
ООО КРОК,9547772529,Бизнес-аналитик,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Опыт администрирования Linux, знание сетей, ответственность.",753,5,0,0,0
ООО Золотая Жила,8918158998,Работа мечты — 200000 руб/неделю,"СРОЧНО! Требуются люди для简单 работы. Оплата 5000 руб/день. Без опыта, без вложений. Писать в телеграм @easy_money. Работа из дома, свободный график. Звоните прямо сейчас!","Возраст от 18 лет, наличие телефона.",33,35,1,5,1
ПАО Газпром,5826292518,DevOps-инженер,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",2462,4,0,0,0
АО Альфа-Банк,5420949400,Системный администратор,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Портфолио, опыт коммерческой разработки, знание Git.",2757,3,0,0,0
ООО Работа Мечты,2126003083,Работа мечты — 200000 руб/неделю,Набор сотрудников для удалённой работы. Оплата 3000 руб за 2 часа. Никаких навыков не требуется. Срочно! Пишите в Telegram. Работа из любой точки мира.,Без опыта! Обучим всему за 1 день!,23,34,1,3,1
ООО МТС,7822239436,Менеджер проектов,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",649,1,0,0,0
ООО Яндекс,1242403385,DevOps-инженер,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Портфолио, опыт коммерческой разработки, знание Git.",655,0,0,0,0
ООО КРОК,7703362688,Backend-разработчик,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Опыт администрирования Linux, знание сетей, ответственность.",394,5,0,0,0
ООО Skillbox,2611724000,Product Manager,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",1508,0,0,0,0
ООО КРОК,2033993781,Системный администратор,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Опыт администрирования Linux, знание сетей, ответственность.",3261,4,0,0,0
АО ВТБ,8795995947,Аналитик данных,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",1894,2,0,0,0
ООО Лёгкий Заработок,5575983399,Набор менеджеров без опыта,Свободная подработка! Оплата ежедневно 2000-5000 руб. Без опыта и вложений. Быстрое оформление. Звоните с 9 до 21. Количество мест ограничено.,"Ответственность, желание зарабатывать, без опыта.",7,28,1,2,1
ООО Лёгкий Заработок,1119236037,Подработка для всех,Заработок от 100000 рублей в неделю! Никакого опыта не нужно. Обучим бесплатно. Оплата ежедневно. Пишите в WhatsApp. Количество мест ограничено!,"Ответственность, желание зарабатывать, без опыта.",29,36,1,3,1
ПАО Газпром,8381684601,Бизнес-аналитик,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Опыт от 3 лет, профильное образование, знание английского.",797,1,0,0,0
ПАО Газпром,3182097021,Backend-разработчик,"Мы ищем frontend-разработчика с опытом React. Требования: React, TypeScript, Redux, опыт коммерческой разработки от 2 лет. Обязанности: разработка интерфейсов, интеграция с API. Условия: удалёнка, ДМС, оплата по итогам собеседования.","Опыт от 3 лет, профильное образование, знание английского.",995,0,0,0,0
ИП Петров А.А.,9628950900,Набор менеджеров без опыта,Заработок от 100000 рублей в неделю! Никакого опыта не нужно. Обучим бесплатно. Оплата ежедневно. Пишите в WhatsApp. Количество мест ограничено!,Срочно! Наличие свободного времени.,45,32,1,3,1
ПАО Сбербанк,2902294137,Аналитик данных,"Требуется системный администратор. Обязанности: поддержка серверов Linux, настройка сети, резервное копирование. Требования: опыт работы от 2 лет, знание Windows Server, Linux. Условия: полный день, соцпакет.","Опыт администрирования Linux, знание сетей, ответственность.",665,4,0,0,0
ООО Работа Мечты,5500000015,"Требуются люди, оплата ежедневно","СРОЧНО! Требуются люди для简单 работы. Оплата 5000 руб/день. Без опыта, без вложений. Писать в телеграм @easy_money. Работа из дома, свободный график. Звоните прямо сейчас!","Возраст от 18 лет, наличие телефона.",10,50,1,3,1
ООО КРОК,7730371836,Python-разработчик,"Ищем опытного специалиста для работы над продуктом. Требования: опыт от 3 лет, знание Python, Django, PostgreSQL. Обязанности: разработка новых модулей, code review, участие в архитектурных решениях. Условия: ДМС, гибкий график, офис в центре.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",2116,3,0,0,0
АО ВТБ,5771093246,QA-инженер,"Ищем DevOps-инженера. Требования: Docker, Kubernetes, CI/CD, опыт работы с облаками. Обязанности: автоматизация деплоя, мониторинг, поддержка инфраструктуры. Условия: удалёнка, оплата 200000-250000 руб.","Высшее образование, опыт работы от 2 лет, аналитическое мышление.",2436,0,0,0,0
ООО Рога и Копыта,2849804252,Набор менеджеров без опыта,"СРОЧНО! Требуются люди для简单 работы. Оплата 5000 руб/день. Без опыта, без вложений. Писать в телеграм @easy_money. Работа из дома, свободный график. Звоните прямо сейчас!",Срочно! Наличие свободного времени.,58,25,1,5,1
АО Лаборатория Касперского,3849877693,Технический писатель,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Опыт администрирования Linux, знание сетей, ответственность.",1279,2,0,0,0
ООО Skillbox,9680112805,QA-инженер,"Присоединяйтесь к команде аналитиков. Требования: SQL, Python, понимание статистики. Обязанности: построение отчётов, анализ метрик, A/B тесты. Условия: официальное трудоустройство, обучение, карьерный рост.","Опыт администрирования Linux, знание сетей, ответственность.",3598,2,0,0,0
